train_loss,train_acc,val_loss,val_acc
0.514991283416748,0.7292038798332214,0.5084800124168396,0.8062242865562439
0.5089348554611206,0.7785108089447021,0.5077222585678101,0.8008468151092529
0.5065426826477051,0.79815274477005,0.5072814226150513,0.7779996991157532
0.5057110786437988,0.8082606196403503,0.5059365630149841,0.8188868761062622
0.5050612092018127,0.8162275552749634,0.5057821869850159,0.8309379816055298
0.5046998262405396,0.8205557465553284,0.5051822066307068,0.8078933954238892
0.504533052444458,0.8227423429489136,0.5047394633293152,0.8467570543289185
0.5043091773986816,0.8256295323371887,0.504706859588623,0.822551965713501
0.5041602849960327,0.8272872567176819,0.5044911503791809,0.8099357485771179
0.5040855407714844,0.8274932503700256,0.5045133829116821,0.8378152847290039
0.5040217041969299,0.828504741191864,0.5049983859062195,0.8024255037307739
0.5039364099502563,0.829035222530365,0.5041031837463379,0.8339377641677856
0.5038655400276184,0.8303422927856445,0.504219114780426,0.8398508429527283
0.5038179755210876,0.8313940763473511,0.5040242671966553,0.8376098275184631
0.5037944316864014,0.8314065337181091,0.5045000910758972,0.8327432870864868
0.5044588446617126,0.8150454163551331,0.5050845146179199,0.798823893070221
0.504169225692749,0.8197413086891174,0.5048683881759644,0.7893301248550415
0.5039366483688354,0.8261982202529907,0.5042659640312195,0.8326016068458557
0.5039337873458862,0.8263208270072937,0.5042997598648071,0.8305267095565796
0.5037752985954285,0.8315775990486145,0.5044012665748596,0.8299160599708557
0.5037187933921814,0.8330649137496948,0.504209578037262,0.814741313457489
0.5048641562461853,0.8119688630104065,0.5055364966392517,0.8048468828201294
0.5045673251152039,0.817061185836792,0.5045276284217834,0.8380245566368103
0.5051953792572021,0.8115525245666504,0.50553297996521,0.8337079882621765
0.5048831701278687,0.8216315507888794,0.5051586031913757,0.832771360874176
0.504668653011322,0.8225316405296326,0.5050956606864929,0.8184068202972412
0.5046926736831665,0.8218637704849243,0.5053713917732239,0.8127711415290833
0.5045682191848755,0.8240671753883362,0.504882276058197,0.8298132419586182
0.5044844746589661,0.82448810338974,0.5048409700393677,0.8223109841346741
